  -1.2348906492998959       0.30714367329541309      (-2.41921275462674210E-002,-1.67920221023784150E-002)  -2.4192127546267421E-002  -1.6792022102378415E-002   2.9448786757719513E-002
 -0.92720454617682957       0.30817940470864741       (-5.00095731010174599E-002,3.39348566717465883E-002)  -5.0009573101017460E-002   3.3934856671746588E-002   6.0436180381274865E-002
 -0.61863024761248231       0.30891992235977178             (9.44800500267365534E-002,0.21774136925814383)   9.4480050026736553E-002  0.21774136925814383       0.23735581673821685     
 -0.30946334564898198       0.30936451688597782                  (0.61509500330053157,0.34064363169504602)  0.61509500330053157       0.34064363169504602       0.70312157334252734     
  -1.8906549577641260E-015  0.30951276239756331              (1.0000000000000000,3.00576468140685267E-015)   1.0000000000000000        3.0057646814068527E-015   1.0000000000000000     
  0.30946334564897998       0.30936451688597899                 (0.61582555107078085,-0.34100417078466577)  0.61582555107078085      -0.34100417078466577       0.70393533356706028     
  0.61863024761248320       0.30891992235976679            (9.62844309907462809E-002,-0.22006261335953767)   9.6284430990746281E-002 -0.22006261335953767       0.24020459081758022     
  0.92720454617682135       0.30817940470864741      (-4.94872695304057614E-002,-3.64987293882696739E-002)  -4.9487269530405761E-002  -3.6498729388269674E-002   6.1491032618855627E-002
   1.2348906492998999       0.30714367329541081       (-2.47471240984110004E-002,1.58938648605166863E-002)  -2.4747124098411000E-002   1.5893864860516686E-002   2.9411478904443442E-002
   1.5413938157671569       0.30581372027652021        (1.14124751729036264E-003,6.93904513391854511E-003)   1.1412475172903626E-003   6.9390451339185451E-003   7.0322680030186603E-003
   1.8464204375325750       0.30419081965165662        (1.68862762860915849E-003,6.08370246845881522E-004)   1.6886276286091585E-003   6.0837024684588152E-004   1.7948753787796826E-003
   2.1496783209740959       0.30227652604321859       (1.38175799309375388E-003,-8.17764983202659817E-004)   1.3817579930937539E-003  -8.1776498320265982E-004   1.6056135024441359E-003
   2.4508769667941941       0.30007267320730641      (-7.67781843005141862E-004,-2.21411788578713178E-004)  -7.6778184300514186E-004  -2.2141178857871318E-004   7.9906954551528053E-004
   2.7497278482973928       0.29758137227697179        (4.34622742438509177E-004,1.10338568760606659E-004)   4.3462274243850918E-004   1.1033856876060666E-004   4.4840999988950939E-004
   3.0459446877781291       0.29480500973992402      (-4.49841188018133430E-004,-1.44321573958065960E-004)  -4.4984118801813343E-004  -1.4432157395806596E-004   4.7242545565125843E-004
   3.3392437307543221       0.29174624515250019        (3.45368064117229135E-004,2.39092056249977841E-004)   3.4536806411722914E-004   2.3909205624997784E-004   4.2005250990075641E-004
   3.6293440177838181       0.28840800859195892      (-2.33247415662860561E-004,-2.74415953574704138E-004)  -2.3324741566286056E-004  -2.7441595357470414E-004   3.6015062472487453E-004
   3.9159676536034231       0.28479349784969282        (1.34678178046171773E-004,2.92704531158368938E-004)   1.3467817804617177E-004   2.9270453115836894E-004   3.2220203941390086E-004
   4.1988400733326774       0.28090617536800322      (-3.13953337481686281E-005,-2.90507238765210635E-004)  -3.1395333748168628E-005  -2.9050723876521063E-004   2.9219877268076607E-004
   4.4776903054873527       0.27674976492331288       (-6.77403230772265506E-005,2.57561336953834852E-004)  -6.7740323077226551E-005   2.5756133695383485E-004   2.6632047173293663E-004
   4.7522512315507646       0.27232824805907191       (1.50905956307972541E-004,-1.93048606925561511E-004)   1.5090595630797254E-004  -1.9304860692556151E-004   2.4503137000213602E-004
   5.0222598418541926       0.26764586027173159       (-2.04520363032308262E-004,1.00002610715455416E-004)  -2.0452036303230826E-004   1.0000261071545542E-004   2.2766005588327102E-004
   5.2874574875213902       0.26270708695347039        (2.12968079914015494E-004,9.75402823426800530E-006)   2.1296807991401549E-004   9.7540282342680053E-006   2.1319133220902155E-004
   5.5475901282357336       0.25751665909551819      (-1.66140147298180386E-004,-1.12670795540268539E-004)  -1.6614014729818039E-004  -1.1267079554026854E-004   2.0074176623696940E-004
   5.8024085755927430       0.25207954875624322        (6.88100869566136492E-005,1.76675720662147604E-004)   6.8810086956613649E-005   1.7667572066214760E-004   1.8960257998894937E-004
   6.0516687318048543       0.24640096429827721       (5.14705195051185570E-005,-1.72065541729663081E-004)   5.1470519505118557E-005  -1.7206554172966308E-004   1.7959890041102484E-004
   6.2951318235297720       0.24048634539939981       (-1.45302750391307670E-004,9.04110640951044669E-005)  -1.4530275039130767E-004   9.0411064095104467E-005   1.7113459551501488E-004
   6.5325646305984506       0.23434135784163829        (1.60045696066851852E-004,3.68483468303394627E-005)   1.6004569606685185E-004   3.6848346830339463E-005   1.6423283926685341E-004
   6.7637397094235361       0.22797188808406910      (-7.60424704762396875E-005,-1.38337144463908162E-004)  -7.6042470476239687E-005  -1.3833714446390816E-004   1.5785950352942954E-004
   6.9884356108744434       0.22138403762397010       (-5.99213767107957746E-005,1.39131460606346596E-004)  -5.9921376710795775E-005   1.3913146060634660E-004   1.5148641760029998E-004
