  0.43000000000000022                 (0.92340597422200421,-0.12735559708952154)
  0.44000000000000022                 (0.91992390172057914,-0.12999180169097344)
  0.45000000000000023                 (0.91637272947286708,-0.13260638020361332)
  0.46000000000000024                 (0.91275316238911697,-0.13519893179574149)
  0.47000000000000025                 (0.90906591738304809,-0.13776906133564171)
  0.48000000000000026                 (0.90531172316412523,-0.14031637948058043)
  0.49000000000000027                 (0.90149132002489074,-0.14284050276392510)
  0.50000000000000022                 (0.89760545962826854,-0.14534105368009695)
  0.51000000000000023                 (0.89365490478974285,-0.14781766076760308)
  0.52000000000000024                 (0.88964042925629294,-0.15026995869002457)
  0.53000000000000025                 (0.88556281748576993,-0.15269758831474856)
  0.54000000000000026                 (0.88142286442060092,-0.15510019678979031)
  0.55000000000000027                 (0.87722137525969690,-0.15747743761839011)
  0.56000000000000028                 (0.87295916523011097,-0.15982897073141250)
  0.57000000000000028                 (0.86863705935353697,-0.16215446255767269)
  0.58000000000000029                 (0.86425589221074495,-0.16445358609212338)
  0.59000000000000030                 (0.85981650770767581,-0.16672602096157055)
  0.60000000000000031                 (0.85531975883377642,-0.16897145348855139)
  0.61000000000000032                 (0.85076650742310966,-0.17118957675263516)
  0.62000000000000033                 (0.84615762391060134,-0.17338009064975868)
  0.63000000000000034                 (0.84149398708855183,-0.17554270194902455)
  0.64000000000000035                 (0.83677648385997228,-0.17767712434747701)
  0.65000000000000036                 (0.83200600899078436,-0.17978307852243697)
  0.66000000000000036                 (0.82718346486162309,-0.18186029218153890)
  0.67000000000000037                 (0.82230976121453780,-0.18390850011068605)
  0.68000000000000038                 (0.81738581490429441,-0.18592744421927934)
  0.69000000000000039                 (0.81241254964246590,-0.18791687358353065)
  0.70000000000000040                 (0.80739089574497813,-0.18987654448717742)
  0.71000000000000041                 (0.80232178987442004,-0.19180622046005136)
  0.72000000000000042                 (0.79720617478547140,-0.19370567231413247)
  0.73000000000000043                 (0.79204499906649439,-0.19557467817740212)
  0.74000000000000044                 (0.78683921688152159,-0.19741302352525955)
  0.75000000000000044                 (0.78158978771122534,-0.19922050120965346)
  0.76000000000000045                 (0.77629767609364564,-0.20099691148579057)
  0.77000000000000046                 (0.77096385136372669,-0.20274206203660058)
  0.78000000000000047                 (0.76558928739369891,-0.20445576799467979)
  0.79000000000000048                 (0.76017496233115101,-0.20613785196207660)
  0.80000000000000049                 (0.75472185833814287,-0.20778814402766546)
  0.81000000000000050                 (0.74923096133127531,-0.20940648178200003)
  0.82000000000000051                 (0.74370326071791770,-0.21099271033024256)
  0.83000000000000052                 (0.73813974913730607,-0.21254668230224302)
  0.84000000000000052                 (0.73254142219740870,-0.21406825786075909)
  0.85000000000000053                 (0.72690927821536844,-0.21555730470699963)
  0.86000000000000054                 (0.72124431795577360,-0.21701369808409757)
  0.87000000000000055                 (0.71554754437077661,-0.21843732077811159)
  0.88000000000000056                 (0.70981996233952671,-0.21982806311694258)
  0.89000000000000057                 (0.70406257840975206,-0.22118582296662867)
  0.90000000000000058                 (0.69827640053870688,-0.22251050572570255)
  0.91000000000000059                 (0.69246243783361217,-0.22380202431722979)
  0.92000000000000060                 (0.68662170029753800,-0.22506029917826498)
  0.93000000000000060                 (0.68075519856941669,-0.22628525824767476)
  0.94000000000000061                 (0.67486394367189462,-0.22747683695106158)
  0.95000000000000062                 (0.66894894675396488,-0.22863497818416395)
  0.96000000000000063                 (0.66301121884082548,-0.22975963229339000)
  0.97000000000000064                 (0.65705177057971453,-0.23085075705473712)
  0.98000000000000065                 (0.65107161198923014,-0.23190831765037770)
  0.99000000000000066                 (0.64507175221171265,-0.23293228664283555)
   1.0000000000000007                 (0.63905319926309090,-0.23392264394757056)
   1.1000000000000008                 (0.57806001634330506,-0.24197834700306559)
   1.2000000000000008                 (0.51628872655225677,-0.24670397665228733)
   1.3000000000000009                 (0.45469200387491221,-0.24819423196596560)
   1.4000000000000010                 (0.39416235864936561,-0.24660612489929173)
   1.5000000000000011                 (0.33551409418099903,-0.24215147030795262)
   1.6000000000000012                 (0.27946860981854171,-0.23508823254671976)
   1.7000000000000013                 (0.22664332585860855,-0.22571109315764665)
   1.8000000000000014                 (0.17754435172130045,-0.21434160936712321)
   1.9000000000000015                 (0.13256287002263412,-0.20131832200061547)
   2.0000000000000013            (9.19750721574245228E-002,-0.18698714566547464)
   2.1000000000000014            (5.59453613830241531E-002,-0.17169233602255590)
   2.2000000000000015            (2.45324414397429386E-002,-0.15576828152684180)
