  -2.2388451527436768       0.13837488246165519            (-1.95295965668391860E-003,0.13885647945923171)
  -2.0994200366663351       0.14045308768400111             (4.05407986574475299E-002,0.16220579263689811)
  -1.9579838268017109       0.14239674892484550             (9.32859489853171825E-002,0.18476849699167366)
  -1.8146720088919079       0.14420400429597729                  (0.15636177779146967,0.20544156672157199)
  -1.6696218653771600       0.14587312257625079                  (0.22930024974153357,0.22301872191798877)
  -1.5229723438890670       0.14740250486995851                  (0.31100664614602891,0.23625682563867120)
  -1.3748639241486991       0.14879068613849480                  (0.39971823575465287,0.24395909196074997)
  -1.2254384833970999       0.15003633660365540                  (0.49301320526891085,0.24506967532187540)
  -1.0748391604870460       0.15113826302160380                  (0.58787840773276001,0.23877161597106508)
 -0.92321021876628562       0.15209540982582290                  (0.68083882564626896,0.22457816564218178)
 -0.77069690788357925       0.15290686013826610                  (0.76814451901900338,0.20240668176309329)
 -0.61744532464994806       0.15357183664770649                  (0.84600314378876973,0.17262490463964666)
 -0.46360227308841478       0.15408970235432370                  (0.91083905174303703,0.13606164242435403)
 -0.30931512380624121       0.15445996117988589             (0.95955474731392987,9.39775174852043177E-002)
 -0.15473167282449099       0.15468225844298891             (0.98976812037319650,4.79960203787199377E-002)
  -9.4532747888206299E-016  0.15475638119878171              (1.0000000200623700,2.95611808294084402E-016)
  0.15473167282448999       0.15468225844298950            (0.98979142981632062,-4.79968767010533551E-002)
  0.30931512380624160       0.15445996117988339            (0.95973717979543882,-9.39909443235834308E-002)
  0.46360227308841068       0.15408970235432370                 (0.91143269515545189,-0.13612736957460661)
  0.61744532464994983       0.15357183664770541                 (0.84734030328385890,-0.17282313097190996)
  0.77069690788357859       0.15290686013826010                 (0.77059061858407951,-0.20286251705702718)
  0.92321021876628773       0.15209540982582831                 (0.68474119799722422,-0.22545717647906729)
   1.0748391604870480       0.15113826302160929                 (0.59351814526178792,-0.24026724672596675)
   1.2254384833970970       0.15003633660365320                 (0.50056632452237260,-0.24738471021605418)
   1.3748639241486971       0.14879068613848589                 (0.40923059235108372,-0.24728420400682483)
   1.5229723438890641       0.14740250486996201                 (0.32238473188659267,-0.24074951157251043)
   1.6696218653771611       0.14587312257625010                 (0.24231765028488950,-0.22878558382016612)
   1.8146720088919090       0.14420400429597949                 (0.17067905191440794,-0.21252611880663949)
   1.9579838268017120       0.14239674892484641                 (0.10848027303465892,-0.19314565712150406)
   2.0994200366663378       0.14045308768400161            (5.61410194760289666E-002,-0.17178317414313457)
   2.2388451527436759       0.13837488246165650            (1.35697751791393831E-002,-0.14948170337923730)
   2.3761256157753818       0.13616412402953590           (-1.97353364914732397E-002,-0.12714602910852452)
   2.5111299209270972       0.13382293013586580           (-4.45777369677149982E-002,-0.10551828299212050)
   2.6437287437606951       0.13135354347673520      (-6.19561642474993762E-002,-8.51695888851759786E-002)
   2.7737950641178668       0.12875832954775909      (-7.29689175048243710E-002,-6.65048149798218163E-002)
   2.9012042877963720       0.12603977437812161      (-7.87336037824445251E-002,-4.97769945955975207E-002)
   3.0258343659024272       0.12320048214913860      (-8.03247577421846021E-002,-3.51079710565895126E-002)
   3.1475659117648860       0.12024317269969990      (-7.87295066272990646E-002,-2.25121725976114538E-002)
   3.2662823152992249       0.11717067892081910      (-7.48198395541404410E-002,-1.19209869614279249E-002)
   3.3818698547117680       0.11398594404203451      (-6.93390263505607868E-002,-3.20585505386503490E-003)
   3.4942178054372222       0.11069201881198500       (-6.28992500410734678E-002,3.80115938227124518E-003)
   3.6032185462050852       0.10729205857614869       (-5.59874574426181132E-002,9.29000650027252475E-003)
   3.7087676621334209       0.10378932025422240       (-4.89766678801090566E-002,1.34587264061497899E-002)
   3.8107640447512470       0.10018715922047770       (-4.21403914206186087E-002,1.65028685626390573E-002)
   3.9091099888537140        9.6489026089588079E-002  (-3.56682957752113700E-002,1.86079428275211685E-002)
   4.0037112860974329        9.2698463411470367E-002  (-2.96817513884441060E-002,1.99444703936384540E-002)
   4.0944773152462908        8.8819102278059059E-002  (-2.42483288495884443E-002,2.06651571165458459E-002)
   4.1813211289814420        8.4854658845461853E-002  (-1.93946954416641774E-002,2.09037186428759278E-002)
   4.2641595371925520        8.0808930774778423E-002  (-1.51176490945359229E-002,2.07749273794035905E-002)
   4.3429131866706516        7.6685793595227522E-002  (-1.13932406890127937E-002,2.03755103220646452E-002)
   4.4175066371268041        7.2489196993191174E-002  (-8.18407894776407123E-003,1.97855926829835181E-002)
   4.4878684334643930        6.8223161031115157E-002  (-5.44499871907950898E-003,1.90704473077652724E-002)
   4.5539311742369701        6.3891772300448235E-002  (-3.12731661581596180E-003,1.82823692555348430E-002)
   4.6156315762280702        5.9499180013558819E-002  (-1.18191002597125205E-003,1.74625461051623465E-002)
